StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,OG_BI_male_afro_1,OG_BI_male_skin_1,OG_BI_male_masc_1,OG_BI_male_traits_1,OG_BI_male_traits_2,OG_BI_male_traits_3,OG_BI_male_traits_4,OG_BI_male_traits_5,OG_BI_male_traits_6,OG_BI_male_traits_DO,N_Biracial_male_afro_1,N_Biracial_male_skin_1,N_Biracial_male_masc_1,N_Biracial_male_trai_1,N_Biracial_male_trai_2,N_Biracial_male_trai_3,N_Biracial_male_trai_4,N_Biracial_male_trai_5,N_Biracial_male_trai_6,BI_female_afro_1,BI_female_skin_1,BI_female_masc_1,BI_female_traits_1,BI_female_traits_2,BI_female_traits_3,BI_female_traits_4,BI_female_traits_5,BI_female_traits_6,BI_female_traits_DO,Black_female_afro_1,Black_female_skin_1,Black_female_masc_1,Black_female_traits_1,Black_female_traits_2,Black_female_traits_3,Black_female_traits_4,Black_female_traits_5,Black_female_traits_6,Black_female_traits_DO,White_female_afro_1,White_female_skin_1,White_female_masc_1,White_female_traits_1,White_female_traits_2,White_female_traits_3,White_female_traits_4,White_female_traits_5,White_female_traits_6,White_female_traits_DO,Black_male_afro_1,Black_male_skin_1,Black_male_masc_1,Black_male_traits_1,Black_male_traits_2,Black_male_traits_3,Black_male_traits_4,Black_male_traits_5,Black_male_traits_6,Black_male_traits_DO,White_male_afro_1,White_male_skin_1,White_male_masc_1,White_male_traits_1,White_male_traits_2,White_male_traits_3,White_male_traits_4,White_male_traits_5,White_male_traits_6,White_male_traits_DO,Ambig_afro_1,Ambig_skin_1,Ambig_masc_1,Ambig_traits_1,Ambig_traits_2,Ambig_traits_3,Ambig_traits_4,Ambig_traits_5,Ambig_traits_6,Ambig_traits_DO,bot_check,random_response,age,race,race_8_TEXT,race_9_TEXT,gender,gender_4_TEXT,FL_10_DO,consent_DO,OG_male_Biracial_base_face_DO,New_Biracial_male_base_face_DO,BI_female_base_face_DO,Black_female_base_face_DO,White_female_base_face_DO,Black_male_base_face_DO,White_male_base_face_DO,Ambig_base_face_DO,demos_DO
4/27/23 17:07,4/27/23 17:14,1,,100,382,1,4/27/23 17:14,R_2CeW5nRR0emF7Vz,,,,,40.7123,-74.0068,preview,EN,1,67,85,77,7,7,3,4,,5,4|6|3|5|2|1,76,86,35,4,4,4,6,2,5,78,83,42,4,3,4,5,5,6,2|1|5|6|4|3,82,72,66,7,7,7,6,7,6,5|1|4|3|6|2,15,32,13,7,7,1,1,7,1,6|2|3|1|4|5,87,81,76,5,4,6,4,5,4,5|3|2|1|4|6,53,8,37,5,2,1,4,3,4,4|1|6|5|2|3,75,68,79,5,6,8,5,6,8,4|5|1|2|6|3,they were cool,2,34,1,,,1,,Black_male_base_face|Black_female_base_face|New_Biracial_male_base_face|OG_male_Biracial_base_face|Ambig_base_face|White_female_base_face|White_male_base_face|BI_female_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_masc|OG_BI_male_afro|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_afro|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_afro|BI_female_masc|BI_female_traits,Black_female_base|Black_female_afro|Black_female_skin|Black_female_masc|Black_female_traits,White_female_base|White_female_masc|White_female_afro|White_female_skin|White_female_traits,Black_male_base|Black_male_afro|Black_male_skin|Black_male_masc|Black_male_traits,White_male_base|White_male_skin|White_male_afro|White_male_masc|White_male_traits,Ambig_base_face|Ambig_skin|Ambig_masc|Ambig_afro|Ambig_traits,age|random_response|gender|race
4/27/23 17:22,4/27/23 17:26,0,96.250.67.96,100,220,1,4/27/23 17:26,R_3Ec08m2dy9yWqaH,,,,,40.7123,-74.0068,anonymous,EN,1,24,68,79,6,7,7,7,6,5,4|1|2|6|5|3,67,30,67,1,1,1,1,1,1,80,82,76,1,2,1,2,1,2,3|6|5|2|1|4,33,69,79,7,6,7,6,7,5,3|2|5|1|4|6,23,66,82,1,3,2,4,5,4,6|5|4|2|3|1,73,75,24,3,6,5,1,4,7,4|1|5|3|2|6,71,26,7,6,5,7,7,4,4,6|5|2|4|1|3,80,72,26,4,6,5,4,6,4,4|5|2|3|6|1,looking at faces,1,66,8,gb,,1,,White_male_base_face|New_Biracial_male_base_face|Ambig_base_face|Black_male_base_face|BI_female_base_face|Black_female_base_face|White_female_base_face|OG_male_Biracial_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_masc|OG_BI_male_afro|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_afro|N_Biracial_male_trai,BI_female_face|BI_female_afro|BI_female_skin|BI_female_masc|BI_female_traits,Black_female_base|Black_female_skin|Black_female_afro|Black_female_masc|Black_female_traits,White_female_base|White_female_masc|White_female_afro|White_female_skin|White_female_traits,Black_male_base|Black_male_afro|Black_male_skin|Black_male_masc|Black_male_traits,White_male_base|White_male_masc|White_male_afro|White_male_skin|White_male_traits,Ambig_base_face|Ambig_afro|Ambig_skin|Ambig_masc|Ambig_traits,gender|age|random_response|race
4/27/23 18:01,4/27/23 18:04,0,68.168.193.48,100,222,1,4/27/23 18:04,R_3fLo24dttzJxatH,,,,,33.1471,-95.9429,anonymous,EN,1,62,63,77,3,4,5,5,5,5,4|5|2|3|1|6,60,62,73,3,4,5,5,5,5,46,55,16,5,5,4,5,5,5,3|5|1|6|4|2,89,87,13,5,5,5,5,5,5,1|2|6|4|3|5,20,24,17,5,5,5,5,5,5,2|4|3|1|5|6,75,75,79,6,5,5,5,5,5,4|6|2|3|5|1,27,23,72,4,4,5,5,5,5,4|5|1|3|2|6,52,55,45,4,5,5,5,5,5,4|1|2|5|6|3,I went based on gut feeling,2,22,1,,,1,,Black_male_base_face|White_male_base_face|New_Biracial_male_base_face|BI_female_base_face|Ambig_base_face|White_female_base_face|Black_female_base_face|OG_male_Biracial_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_afro|OG_BI_male_masc|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_afro|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_masc|BI_female_afro|BI_female_traits,Black_female_base|Black_female_afro|Black_female_masc|Black_female_skin|Black_female_traits,White_female_base|White_female_afro|White_female_masc|White_female_skin|White_female_traits,Black_male_base|Black_male_skin|Black_male_masc|Black_male_afro|Black_male_traits,White_male_base|White_male_masc|White_male_skin|White_male_afro|White_male_traits,Ambig_base_face|Ambig_skin|Ambig_afro|Ambig_masc|Ambig_traits,race|gender|random_response|age
4/27/23 18:08,4/27/23 18:11,0,71.221.139.150,100,179,1,4/27/23 18:11,R_2bToy9qlLHsMwWE,,,,,32.2151,-95.79,anonymous,EN,1,50,52,80,4,4,4,4,4,4,6|2|1|5|3|4,45,41,89,4,4,4,4,4,4,33,44,10,4,4,4,4,4,4,6|1|5|4|3|2,82,69,20,4,4,4,4,4,4,1|6|2|5|4|3,30,40,32,4,4,5,4,2,4,5|2|4|3|1|6,89,83,87,4,4,4,4,4,4,2|5|1|3|4|6,32,31,81,5,4,4,4,3,4,3|2|1|4|6|5,52,52,43,4,4,3,4,4,4,3|1|5|6|2|4,Just by looking,2,42,1,,,2,,White_male_base_face|White_female_base_face|Black_male_base_face|OG_male_Biracial_base_face|Ambig_base_face|Black_female_base_face|New_Biracial_male_base_face|BI_female_base_face,consent,male_face|OG_BI_male_afro|OG_BI_male_masc|OG_BI_male_skin|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_skin|N_Biracial_male_afro|N_Biracial_male_masc|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_afro|BI_female_masc|BI_female_traits,Black_female_base|Black_female_afro|Black_female_masc|Black_female_skin|Black_female_traits,White_female_base|White_female_afro|White_female_skin|White_female_masc|White_female_traits,Black_male_base|Black_male_afro|Black_male_masc|Black_male_skin|Black_male_traits,White_male_base|White_male_skin|White_male_masc|White_male_afro|White_male_traits,Ambig_base_face|Ambig_skin|Ambig_afro|Ambig_masc|Ambig_traits,random_response|age|gender|race
4/27/23 18:09,4/27/23 18:17,0,107.197.81.72,100,491,1,4/27/23 18:17,R_3Oesc1ec6Jk4pjo,,,,,33.8992,-84.8572,anonymous,EN,1,50,51,72,5,4,4,4,4,4,4|3|1|6|2|5,41,23,92,5,4,5,4,4,4,40,19,11,5,4,4,4,4,4,1|4|6|2|5|3,58,55,7,5,4,4,4,4,4,6|3|1|5|4|2,5,0,14,4,4,4,4,4,4,6|4|1|2|3|5,69,67,85,5,4,4,4,4,4,2|1|4|6|3|5,0,0,84,4,4,4,4,3,4,6|1|4|2|5|3,59,50,50,4,4,4,4,4,4,2|1|3|6|4|5,Their faces weren't showing much emotion so they all had mostly the same vibe.,2,38,2,,,2,,Black_female_base_face|New_Biracial_male_base_face|Black_male_base_face|BI_female_base_face|White_female_base_face|OG_male_Biracial_base_face|White_male_base_face|Ambig_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_afro|OG_BI_male_masc|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_masc|N_Biracial_male_afro|N_Biracial_male_skin|N_Biracial_male_trai,BI_female_face|BI_female_masc|BI_female_afro|BI_female_skin|BI_female_traits,Black_female_base|Black_female_skin|Black_female_afro|Black_female_masc|Black_female_traits,White_female_base|White_female_masc|White_female_afro|White_female_skin|White_female_traits,Black_male_base|Black_male_skin|Black_male_masc|Black_male_afro|Black_male_traits,White_male_base|White_male_masc|White_male_skin|White_male_afro|White_male_traits,Ambig_base_face|Ambig_skin|Ambig_masc|Ambig_afro|Ambig_traits,race|random_response|gender|age
4/27/23 18:12,4/27/23 18:17,0,68.106.183.146,100,299,1,4/27/23 18:17,R_1CyINctRTJqaR6w,,,,,37.2731,-76.7279,anonymous,EN,1,74,74,73,5,5,6,5,5,5,6|2|5|1|4|3,38,42,80,4,5,5,5,5,5,37,50,32,5,5,4,5,5,5,5|6|2|4|3|1,69,74,26,4,5,4,5,4,5,2|1|6|5|4|3,30,21,19,6,5,4,5,5,5,3|1|2|5|4|6,85,89,91,4,5,5,5,5,5,5|3|6|2|4|1,18,7,79,6,5,5,5,5,5,4|2|3|1|6|5,45,57,58,4,5,5,5,5,5,4|1|3|5|6|2,Judging solely on looks,2,32,1,,,2,,BI_female_base_face|White_female_base_face|OG_male_Biracial_base_face|White_male_base_face|Ambig_base_face|Black_male_base_face|New_Biracial_male_base_face|Black_female_base_face,consent,male_face|OG_BI_male_masc|OG_BI_male_afro|OG_BI_male_skin|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_skin|N_Biracial_male_masc|N_Biracial_male_afro|N_Biracial_male_trai,BI_female_face|BI_female_masc|BI_female_afro|BI_female_skin|BI_female_traits,Black_female_base|Black_female_masc|Black_female_afro|Black_female_skin|Black_female_traits,White_female_base|White_female_afro|White_female_skin|White_female_masc|White_female_traits,Black_male_base|Black_male_afro|Black_male_skin|Black_male_masc|Black_male_traits,White_male_base|White_male_masc|White_male_skin|White_male_afro|White_male_traits,Ambig_base_face|Ambig_masc|Ambig_afro|Ambig_skin|Ambig_traits,gender|race|random_response|age
4/27/23 18:13,4/27/23 18:20,0,72.222.77.45,100,412,1,4/27/23 18:20,R_XhcJ3u9UdkNYLbH,,,,,35.8893,-96.0858,anonymous,EN,1,100,90,100,5,5,3,4,5,5,2|5|3|6|4|1,65,60,80,2,1,7,3,1,4,50,55,0,7,2,7,4,3,6,4|1|6|5|2|3,100,90,5,5,2,5,3,4,5,2|3|5|6|4|1,0,0,0,5,2,7,4,5,6,3|5|6|2|1|4,100,100,100,2,1,5,4,1,4,1|5|6|2|4|3,0,0,100,5,3,6,4,3,5,5|4|2|6|1|3,35,50,45,2,5,8,4,1,4,5|6|2|4|3|1,By judging their blurry headshots... Looking like mugshots,2,27,1,,,2,,Black_female_base_face|Ambig_base_face|White_female_base_face|OG_male_Biracial_base_face|White_male_base_face|New_Biracial_male_base_face|Black_male_base_face|BI_female_base_face,consent,male_face|OG_BI_male_afro|OG_BI_male_skin|OG_BI_male_masc|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_afro|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_masc|BI_female_afro|BI_female_traits,Black_female_base|Black_female_skin|Black_female_masc|Black_female_afro|Black_female_traits,White_female_base|White_female_skin|White_female_masc|White_female_afro|White_female_traits,Black_male_base|Black_male_skin|Black_male_masc|Black_male_afro|Black_male_traits,White_male_base|White_male_masc|White_male_skin|White_male_afro|White_male_traits,Ambig_base_face|Ambig_skin|Ambig_afro|Ambig_masc|Ambig_traits,age|gender|random_response|race
4/27/23 18:18,4/27/23 18:20,0,73.137.205.166,100,144,1,4/27/23 18:20,R_2zHZdYt1Y5UGmuo,,,,,33.6926,-84.2509,anonymous,EN,1,75,83,76,5,5,3,5,4,4,5|3|4|6|1|2,65,71,64,3,4,5,5,4,4,53,46,54,3,4,4,5,4,5,1|3|6|4|2|5,72,76,34,4,4,5,4,3,4,1|5|2|6|3|4,38,43,39,4,3,5,5,5,4,2|6|5|4|3|1,74,71,66,4,3,5,3,4,5,2|4|5|6|3|1,41,45,66,5,4,4,5,3,4,5|3|6|1|4|2,56,48,55,4,5,5,5,4,3,6|1|4|3|5|2,I based it on my initial gut reaction.,2,35,1,,,1,,White_female_base_face|New_Biracial_male_base_face|Ambig_base_face|OG_male_Biracial_base_face|White_male_base_face|Black_female_base_face|Black_male_base_face|BI_female_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_masc|OG_BI_male_afro|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_afro|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_masc|BI_female_afro|BI_female_traits,Black_female_base|Black_female_afro|Black_female_masc|Black_female_skin|Black_female_traits,White_female_base|White_female_afro|White_female_masc|White_female_skin|White_female_traits,Black_male_base|Black_male_afro|Black_male_skin|Black_male_masc|Black_male_traits,White_male_base|White_male_skin|White_male_masc|White_male_afro|White_male_traits,Ambig_base_face|Ambig_masc|Ambig_afro|Ambig_skin|Ambig_traits,random_response|age|gender|race
4/27/23 18:15,4/27/23 18:20,0,173.171.232.21,100,310,1,4/27/23 18:20,R_6DPOmxLAF5PX1TP,,,,,27.9032,-82.2911,anonymous,EN,1,89,84,95,4,4,4,4,4,4,5|3|1|2|6|4,67,65,83,4,4,4,4,4,4,59,38,3,4,4,4,4,4,4,2|4|6|5|3|1,94,91,7,4,4,4,4,5,4,4|5|6|1|2|3,0,4,6,3,4,4,3,3,4,1|6|3|4|2|5,69,73,98,5,5,5,5,5,4,6|4|1|5|3|2,0,10,62,4,4,4,4,4,4,3|5|2|1|6|4,62,61,33,3,4,4,4,4,4,1|6|2|3|4|5,General feeling about what I was seeing.  ,2,49,1,,,1,,Black_male_base_face|Ambig_base_face|White_male_base_face|White_female_base_face|New_Biracial_male_base_face|BI_female_base_face|Black_female_base_face|OG_male_Biracial_base_face,consent,male_face|OG_BI_male_masc|OG_BI_male_afro|OG_BI_male_skin|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_afro|N_Biracial_male_skin|N_Biracial_male_masc|N_Biracial_male_trai,BI_female_face|BI_female_afro|BI_female_masc|BI_female_skin|BI_female_traits,Black_female_base|Black_female_afro|Black_female_masc|Black_female_skin|Black_female_traits,White_female_base|White_female_afro|White_female_skin|White_female_masc|White_female_traits,Black_male_base|Black_male_masc|Black_male_afro|Black_male_skin|Black_male_traits,White_male_base|White_male_masc|White_male_afro|White_male_skin|White_male_traits,Ambig_base_face|Ambig_masc|Ambig_afro|Ambig_skin|Ambig_traits,gender|race|random_response|age
4/27/23 18:14,4/27/23 18:21,0,24.131.103.69,100,436,1,4/27/23 18:21,R_WeXCX5MNdNQT1uh,,,,,40.0936,-78.9608,anonymous,EN,1,100,90,100,5,6,7,6,5,6,3|6|1|2|5|4,50,70,80,5,6,6,6,5,6,65,70,15,7,6,6,6,6,6,5|1|3|4|2|6,100,100,0,6,6,6,6,6,6,5|4|6|3|1|2,0,10,20,5,6,6,5,4,6,6|5|4|2|1|3,100,90,90,6,6,6,6,5,6,5|3|1|6|4|2,0,0,80,5,6,6,6,4,5,2|4|1|3|5|6,65,60,90,6,6,6,6,5,6,5|2|6|3|4|1,"It's hard to say for sure, just immediate gut feeling and perception based on the limited information available.",1,28,1,,,1,,New_Biracial_male_base_face|White_male_base_face|Black_female_base_face|White_female_base_face|BI_female_base_face|Ambig_base_face|OG_male_Biracial_base_face|Black_male_base_face,consent,male_face|OG_BI_male_skin|OG_BI_male_afro|OG_BI_male_masc|OG_BI_male_traits,N_Biracial_male_base|N_Biracial_male_masc|N_Biracial_male_skin|N_Biracial_male_afro|N_Biracial_male_trai,BI_female_face|BI_female_skin|BI_female_masc|BI_female_afro|BI_female_traits,Black_female_base|Black_female_skin|Black_female_afro|Black_female_masc|Black_female_traits,White_female_base|White_female_skin|White_female_masc|White_female_afro|White_female_traits,Black_male_base|Black_male_skin|Black_male_masc|Black_male_afro|Black_male_traits,White_male_base|White_male_masc|White_male_skin|White_male_afro|White_male_traits,Ambig_base_face|Ambig_masc|Ambig_afro|Ambig_skin|Ambig_traits,age|gender|random_response|race
